#options: 960x720 fps=785647/32768 timebase=32768/785647 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=560 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:37.03 aq:28.21 tex:32529 mv:16893 misc:178 imb:2700 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:37.25 aq:30.66 tex:28766 mv:11116 misc:1710 imb:653 pmb:585 smb:1462 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:37.25 aq:32.14 tex:4236 mv:7535 misc:1757 imb:120 pmb:580 smb:2000 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:37.25 aq:30.51 tex:710 mv:1977 misc:1313 imb:40 pmb:318 smb:2342 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:37.25 aq:33.14 tex:1717 mv:4510 misc:1389 imb:34 pmb:406 smb:2260 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:37.16 aq:29.12 tex:40851 mv:12074 misc:1619 imb:698 pmb:603 smb:1399 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:37.21 aq:31.97 tex:4330 mv:6075 misc:1635 imb:104 pmb:485 smb:2111 d:- ref:0 ;
in:8 out:7 type:P dur:2 cpbdur:2 q:41.16 aq:34.69 tex:23630 mv:8245 misc:1533 imb:461 pmb:478 smb:1761 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:39.16 aq:35.24 tex:1918 mv:4788 misc:1334 imb:44 pmb:391 smb:2265 d:- ref:0 ;
in:10 out:9 type:P dur:2 cpbdur:2 q:38.46 aq:32.52 tex:51470 mv:10769 misc:1505 imb:618 pmb:601 smb:1481 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:39.81 aq:35.79 tex:1677 mv:4469 misc:1262 imb:65 pmb:342 smb:2293 d:- ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:38.91 aq:32.40 tex:35340 mv:8561 misc:1675 imb:490 pmb:620 smb:1590 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:38.68 aq:34.48 tex:553 mv:1860 misc:1027 imb:15 pmb:207 smb:2478 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:39.19 aq:32.50 tex:29056 mv:11509 misc:1643 imb:851 pmb:654 smb:1195 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:39.05 aq:33.42 tex:2321 mv:4918 misc:1545 imb:77 pmb:419 smb:2204 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:38.98 aq:35.95 tex:975 mv:2184 misc:945 imb:41 pmb:183 smb:2476 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:39.12 aq:36.59 tex:631 mv:1623 misc:682 imb:16 pmb:161 smb:2523 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:39.83 aq:32.58 tex:17894 mv:9397 misc:1885 imb:560 pmb:555 smb:1585 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:39.51 aq:34.44 tex:2038 mv:3578 misc:1248 imb:61 pmb:300 smb:2339 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:39.35 aq:36.52 tex:780 mv:2543 misc:997 imb:29 pmb:249 smb:2422 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:39.67 aq:38.58 tex:478 mv:1582 misc:828 imb:15 pmb:163 smb:2522 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:38.63 aq:29.62 tex:17688 mv:7922 misc:1942 imb:368 pmb:603 smb:1729 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:39.23 aq:35.25 tex:669 mv:2299 misc:1136 imb:29 pmb:273 smb:2398 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:39.53 aq:34.88 tex:313 mv:1575 misc:776 imb:15 pmb:162 smb:2523 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:38.93 aq:38.89 tex:326 mv:912 misc:554 imb:6 pmb:91 smb:2603 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:37.34 aq:28.24 tex:21957 mv:9832 misc:2019 imb:420 pmb:724 smb:1556 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:37.98 aq:33.42 tex:670 mv:2613 misc:1141 imb:16 pmb:284 smb:2400 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:38.30 aq:36.09 tex:407 mv:1591 misc:938 imb:7 pmb:197 smb:2496 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:37.66 aq:35.97 tex:222 mv:711 misc:603 imb:4 pmb:83 smb:2613 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:36.22 aq:27.99 tex:30050 mv:8580 misc:1986 imb:326 pmb:711 smb:1663 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:36.78 aq:31.49 tex:1548 mv:3198 misc:1166 imb:20 pmb:306 smb:2374 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:37.06 aq:28.89 tex:522 mv:1229 misc:793 imb:5 pmb:180 smb:2515 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:36.50 aq:31.80 tex:608 mv:1156 misc:732 imb:3 pmb:121 smb:2576 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:35.21 aq:27.10 tex:33304 mv:9355 misc:1997 imb:403 pmb:686 smb:1611 d:- ref:0 ;
